U+35A7	㖧
U+35A9	㖩
U+35B6	㖶
U+35B7	㖷
U+35B8	㖸
U+35B9	㖹
U+35BB	㖻
U+35C0	㗀
U+35C3	㗃
U+35C4	㗄
U+35CC	㗌
U+35D1	㗑
U+35D2	㗒
U+35D5	㗕
U+35D7	㗗
U+35D9	㗙
U+35E2	㗢
U+35E3	㗣
U+35E4	㗤
U+35E7	㗧
U+35E8	㗨
U+35EB	㗫
U+35ED	㗭
U+35F4	㗴
U+35FC	㗼
U+35FF	㗿
U+3601	㘁
U+3606	㘆
U+3608	㘈
U+360A	㘊
U+360B	㘋
U+360C	㘌
U+360D	㘍
U+360E	㘎
U+3610	㘐
U+3615	㘕
U+3616	㘖
U+3619	㘙
U+361A	㘚
U+361B	㘛
U+361C	㘜
U+361D	㘝
U+361E	㘞
U+3620	㘠
U+3623	㘣
U+362B	㘫
U+362C	㘬
U+362D	㘭
U+3633	㘳
U+3637	㘷
U+363B	㘻
U+363F	㘿
U+3641	㙁
U+3642	㙂
U+3643	㙃
U+3648	㙈
U+364D	㙍
U+3651	㙑
U+3652	㙒
U+3654	㙔
U+3657	㙗
U+3658	㙘
U+365C	㙜
U+365E	㙞
U+3660	㙠
U+3662	㙢
U+3665	㙥
U+366A	㙪
U+366B	㙫
U+366C	㙬
U+366F	㙯
U+3670	㙰
U+3671	㙱
U+3674	㙴
U+3677	㙷
U+3678	㙸
U+3679	㙹
U+367A	㙺
U+3681	㚁
U+3682	㚂
U+368D	㚍
U+3695	㚕
U+369D	㚝
U+36A4	㚤
U+36A5	㚥
U+36A7	㚧
U+36A9	㚩
U+36AD	㚭
U+36B1	㚱
U+36B2	㚲
U+36B3	㚳
U+36B4	㚴
U+36B7	㚷
U+36B9	㚹
U+36BA	㚺
U+36BB	㚻
U+36BC	㚼
U+36BF	㚿
U+36C1	㛁
U+36C4	㛄
U+36C6	㛆
U+36CA	㛊
U+36CD	㛍
U+36D2	㛒
U+36D5	㛕
U+36D7	㛗
U+36D8	㛘
U+36DB	㛛
U+36DC	㛜
U+36E5	㛥
U+36E7	㛧
U+36E8	㛨
U+36EA	㛪
U+36EB	㛫
U+36EF	㛯
U+36F3	㛳
U+36FA	㛺
U+36FB	㛻
U+36FC	㛼
U+3704	㜄
U+3706	㜆
U+3707	㜇
U+3709	㜉
U+370B	㜋
U+370C	㜌
U+370E	㜎
U+3712	㜒
U+3717	㜗
U+3718	㜘
U+371B	㜛
U+371D	㜝
U+3721	㜡
U+3723	㜣
U+3724	㜤
U+3727	㜧
U+372A	㜪
U+3730	㜰
U+3732	㜲
U+3733	㜳
U+3734	㜴
U+3736	㜶
U+3737	㜷
U+3738	㜸
U+373C	㜼
U+3740	㝀
U+3741	㝁
U+3742	㝂
U+374B	㝋
U+3750	㝐
U+3753	㝓
U+3756	㝖
U+3757	㝗
U+3758	㝘
U+3759	㝙
U+3762	㝢
U+3765	㝥
U+3774	㝴
U+377C	㝼
U+377D	㝽
U+3781	㞁
U+3783	㞃
U+3785	㞅
U+3786	㞆
U+3787	㞇
U+3788	㞈
U+378C	㞌
